Student Name	Score
T00699518	74 
T00255775	47 
T00359012	60 
T00392279	98 
T00886455	91 
T00736849	14 
T00449104	69 
T00483175	99 
T00263002	81 
T00789511	07 
T00458561	46 
T01581954	85 
T00942704	48 
T00205123	50 
T00131362	12 
T00829690	60 
T00942756	81 
T00584495	6 
T00239700	64 
T00486063	48 
T00988321	98 
T00624033	16 
T00760884	24 
T00985306	98 
T00852060	37 
T00505866	22 
T00200792	36 
T00467803	60 
T00514039	69 
T00622219	86 
T00474017	28 
T00759983	22 
T00677161	58 
T00486267	20 
T00880333	60 
T00251779	67 
T00423291	23 
T00787196	76 
T00931450	32 
T00558094	0 
T00452170	53 
T00752252	83 
T00656738	15 
T00445563	35 
T00339614	81 
T00329606	14 
T00172180	19 
T00662040	57 
T00896160	37 
T00945634	28 
T00868828	35 
T00651691	101 
T00167961	12 
T01488317	24 
T00916615	3 
T00382244	96 
T00358453	20 
T00810366	79 
T00976168	80 
T00739030	86 
T00409914	35 
T00382159	91 
T00730127	29 
T00861057	 
T00628766	36 
T00931336	27 
T00401009	56 
T00704576	19 
T00732808	93 
T00739686	43 
T00523578	39 
T00751624	37 
T00355544	70 
T00194970	46 
T00556966	51 
T00867049	19 
T00292758	38 
T00445353	-2 
T00113914	69 
T00399992	72 
T0026495	18 
T00254083	4 
T00299695	9 
T00478496	86 
T00311598	88 
T00402092	67 
T00915851	33 
T00394553	54 
T00859973	45 
T00236159	16 
T00788289	23 
T00273010	52 
T00407716	90 
T00210300	62 
T00578567	22 
T00277021	2 
T00700277	79 
T01518042	4 
T00889221	68 
T00732598	46 
T00180806	62 
T00163231	-4 
T00422593	91 
T0045094	8 
T00416846	0 
T00670331	95 
T0043735	45 
T00730094	15 
T00550519	38 
T00587911	52 
T00927408	77 
T00371481	4 
T00307372	64 
T00848384	21 
T00625057	80 
T00449297	50 
T00349026	90 
T00327747	74 
T00961933	80 
T00264336	66 
T0048060	28 
T00799214	65 
T00924505	21 
T00682149	84 
T00667479	58 
T00978334	79 
T00948330	92 
T00669088	6 
T00388284	3 
T00868817	6 
T00266517	90 
T00843068	88 
T00456388	51 
T00857271	86 
T00228977	94 
T00511691	94 
T00997946	9 
T00625382	8 
T00752570	40 
T00920393	34 
T00879897	61 
T00727190	53 
T00312348	79 
T00683270	70 
T00453674	69 
T00929126	11 
T00134018	70 
T00619237	63 
T00923969	47 
T00660459	32 
T00497800	61 
T00466178	86 
T00377724	87 
T00171815	63 
T00313831	300 
T00195745	19 
T00758480	26 
T00249419	99 
T00379264	8 
T00901458	33 
T00321275	74 
T00582714	54 
T00977238	96 
T00482763	84 
T00353211	45 
T00133029	4 
T00727846	55 
T00597712	8 
T00194876	66 
T00100926	96 
T00851285	34 
T00606907	79 
T00847756	53 
T00339911	92 
T00253329	46 
T00481376	60 
T00702805	75 
T00314143	3 
T00932851	30 
T00897037	76 
T00175330	50 
T00947806	46 
T00744588	51 
T00988397	75 
T00281332	40 
T00963805	8 
T00308190	15 
T00484150	64 
T00440485	47 
T10559432	9 
T0088906	16 
T00197327	39 
T01408842	14 
T00516665	95 
T00694858	43 
T00926625	31 
T00550734	94 
T00947550	17 
T00670197	90 
T00403811	48 
T00212128	41 
T00302756	58 
T00821230	81 
T00523108	96 
T00602077	24 
T00399658	16 
T00646137	80 
T00636487	87 
T00595944	81 
T00719770	74 
